Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
,,7-Empenho - 13001  2024  9  0  15001002,0,C,"1.800,00","1.800,00",0,C,,
,,7-Empenho - 13001  2024  90  0  15001002,0,C,"100.000,00","100.000,00",0,C,,
,,7-Empenho - 13001  2024  900  0  16007000,0,C,"584,1","584,1",0,C,,
,,7-Empenho - 13001  2024  901  0  16007000,0,C,"697,3","697,3",0,C,,
,,7-Empenho - 13001  2024  902  0  16007000,0,C,"1.440,00","1.440,00",0,C,,
,,7-Empenho - 13001  2024  903  0  16007000,0,C,"2.583,90","2.583,90",0,C,,
,,7-Empenho - 13001  2024  904  0  16007000,0,C,"2.746,08","2.746,08",0,C,,
,,7-Empenho - 13001  2024  905  0  16007000,0,C,"873,13","873,13",0,C,,
,,7-Empenho - 13001  2024  906  0  16007000,0,C,"479,2","479,2",0,C,,
,,7-Empenho - 13001  2024  907  0  15001002,0,C,"43,2","1.800,00","1.756,80",C,,
,,7-Empenho - 13001  2024  908  0  16007000,0,C,640,640,0,C,,
,,7-Empenho - 13001  2024  909  0  15001002,0,C,"6.545,00","6.545,00",0,C,,
,,7-Empenho - 13001  2024  91  0  16007000,0,C,675,675,0,C,,
,,7-Empenho - 13001  2024  910  0  15001002,0,C,"6.000,00","6.000,00",0,C,,
,,7-Empenho - 13001  2024  911  0  16007000,0,C,"1.738,00","1.738,00",0,C,,
,,7-Empenho - 13001  2024  912  0  16007000,0,C,"4.900,00","4.900,00",0,C,,
,,7-Empenho - 13001  2024  913  0  16007000,0,C,"2.089,20","2.089,20",0,C,,
,,7-Empenho - 13001  2024  914  0  16007000,0,C,"922,8","922,8",0,C,,
,,7-Empenho - 13001  2024  915  0  16007000,0,C,"3.960,57","3.960,57",0,C,,
,,7-Empenho - 13001  2024  916  0  16007000,0,C,"4.214,40","4.214,40",0,C,,
,,7-Empenho - 13001  2024  917  0  16007000,0,C,"1.740,00","1.740,00",0,C,,
,,7-Empenho - 13001  2024  918  0  16007000,0,C,"6.789,95","6.789,95",0,C,,
,,7-Empenho - 13001  2024  919  0  16217000,0,C,864,864,0,C,,
,,7-Empenho - 13001  2024  92  0  15001002,0,C,"5.795,92","7.828,48","2.032,56",C,,
,,7-Empenho - 13001  2024  920  0  16007000,0,C,"9.584,70","9.584,70",0,C,,
,,7-Empenho - 13001  2024  921  0  16007000,0,C,"2.988,97","2.988,97",0,C,,
,,7-Empenho - 13001  2024  922  0  16007000,0,C,"5.250,00","5.250,00",0,C,,
,,7-Empenho - 13001  2024  923  0  16007000,0,C,"6.774,80","6.774,80",0,C,,
,,7-Empenho - 13001  2024  924  0  16007000,0,C,"7.260,00","7.260,00",0,C,,
,,7-Empenho - 13001  2024  925  0  16217000,0,C,"241,48","241,48",0,C,,
,,7-Empenho - 13001  2024  926  0  16007000,0,C,"16.827,40","16.827,40",0,C,,
,,7-Empenho - 13001  2024  927  0  16007000,0,C,"1.422,24","1.422,24",0,C,,
,,7-Empenho - 13001  2024  928  0  15001002,0,C,325,325,0,C,,
,,7-Empenho - 13001  2024  929  0  15001002,0,C,"40,56","1.690,00","1.649,44",C,,
,,7-Empenho - 13001  2024  93  0  15001002,0,C,"149,37","149,37",0,C,,
,,7-Empenho - 13001  2024  930  0  15001002,0,C,100,100,0,C,,
,,7-Empenho - 13001  2024  931  0  15001002,0,C,100,100,0,C,,
,,7-Empenho - 13001  2024  932  0  16017000,0,C,"143.653,40","143.653,40",0,C,,
,,7-Empenho - 13001  2024  933  0  15001002,0,C,0,80,80,C,,
,,7-Empenho - 13001  2024  934  0  15001002,0,C,"3.453,79","3.453,79",0,C,,
,,7-Empenho - 13001  2024  935  0  15001002,0,C,"1.815,00","1.815,00",0,C,,
,,7-Empenho - 13001  2024  936  0  15001002,0,C,"18.051,00","18.051,00",0,C,,
,,7-Empenho - 13001  2024  937  0  15001002,0,C,"17.658,81","17.658,81",0,C,,
,,7-Empenho - 13001  2024  938  0  15001002,0,C,"100.000,00","100.000,00",0,C,,
,,7-Empenho - 13001  2024  939  0  16007000,0,C,"1.622,60","1.622,60",0,C,,
,,7-Empenho - 13001  2024  94  0  15001002,0,C,"1.173,88","1.173,88",0,C,,
,,7-Empenho - 13001  2024  940  0  16007000,0,C,"981,4","981,4",0,C,,
,,7-Empenho - 13001  2024  941  0  16007000,0,C,"1.043,01","1.043,01",0,C,,
,,7-Empenho - 13001  2024  942  0  15001002,0,C,220,220,0,C,,
,,7-Empenho - 13001  2024  943  0  15001002,0,C,"3.131,12","3.131,12",0,C,,
,,7-Empenho - 13001  2024  944  0  15001002,0,C,975,975,0,C,,
,,7-Empenho - 13001  2024  945  0  15001002,0,C,384,384,0,C,,
,,7-Empenho - 13001  2024  946  0  15001002,0,C,0,202,202,C,,
,,7-Empenho - 13001  2024  947  0  15001002,0,C,"1.096,62","1.096,62",0,C,,
,,7-Empenho - 13001  2024  948  0  15001002,0,C,0,640,640,C,,
,,7-Empenho - 13001  2024  949  0  15001002,0,C,240,240,0,C,,
,,7-Empenho - 13001  2024  95  0  15001002,0,C,"957,07","957,07",0,C,,
,,7-Empenho - 13001  2024  950  0  15001002,0,C,100,100,0,C,,
,,7-Empenho - 13001  2024  951  0  15001002,0,C,"1.472,00","1.472,00",0,C,,
,,7-Empenho - 13001  2024  952  0  15001002,0,C,"1.982,97","1.982,97",0,C,,
,,7-Empenho - 13001  2024  953  0  15001002,0,C,70,70,0,C,,
,,7-Empenho - 13001  2024  954  0  16217000,0,C,"3.259,94","3.259,94",0,C,,
,,7-Empenho - 13001  2024  955  0  16217000,0,C,"3.600,00","3.600,00",0,C,,
,,7-Empenho - 13001  2024  956  0  16217000,0,C,"3.684,20","3.684,20",0,C,,
,,7-Empenho - 13001  2024  957  0  16217000,0,C,"4.402,20","4.402,20",0,C,,
,,7-Empenho - 13001  2024  958  0  15001002,0,C,50,50,0,C,,
,,7-Empenho - 13001  2024  959  0  15001002,0,C,50,50,0,C,,
,,7-Empenho - 13001  2024  96  0  15001002,0,C,"2.451,05","2.451,05",0,C,,
,,7-Empenho - 13001  2024  960  0  15001002,0,C,50,50,0,C,,
,,7-Empenho - 13001  2024  961  0  15001002,0,C,50,50,0,C,,
,,7-Empenho - 13001  2024  962  0  15001002,0,C,0,80,80,C,,
,,7-Empenho - 13001  2024  963  0  15001002,0,C,0,"2.262,44","2.262,44",C,,
,,7-Empenho - 13001  2024  964  0  15001002,0,C,"5.850,00","5.850,00",0,C,,
,,7-Empenho - 13001  2024  965  0  15001002,0,C,35,35,0,C,,
,,7-Empenho - 13001  2024  966  0  16007000,0,C,"1.560,19","1.560,19",0,C,,
,,7-Empenho - 13001  2024  967  0  16007000,0,C,"809,5","809,5",0,C,,
,,7-Empenho - 13001  2024  968  0  16007000,0,C,"2.485,56","2.485,56",0,C,,
,,7-Empenho - 13001  2024  969  0  16007000,0,C,"3.141,77","3.141,77",0,C,,
,,7-Empenho - 13001  2024  97  0  15001002,0,C,"50.000,00","50.000,00",0,C,,
,,7-Empenho - 13001  2024  970  0  16007000,0,C,"999,43","999,43",0,C,,
,,7-Empenho - 13001  2024  971  0  16007000,0,C,"20.811,43","20.811,43",0,C,,
2.1.2008,Sintética,ADIANTAMENTO DE CLIENTES E DEMAIS OBRIGAÇÕES A CURTO PRAZO,"51.644,12",C,"828.628,63","854.198,35","77.213,84",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8,Sintética,VALORES RESTITUÍVEIS,"50.914,12",C,"770.168,63","791.738,35","72.483,84",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8.1,Sintética,VALORES RESTITUÍVEIS - CONSOLIDAÇÃO,"50.914,12",C,"770.168,63","791.738,35","72.483,84",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8.1.01,Sintética,CONSIGNAÇÕES,"17.068,17",C,"516.870,62","536.434,56","36.632,11",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8.1.01.15,Sintética,RETENÇÕES - EMPRÉSTIMOS E FINANCIAMENTOS,0,C,"4.218,12","4.686,80","468,68",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8.1.01.15.00.00.000005,Analitica,EMPRESTIMOS BANCO DO BRASIL,0,C,"4.218,12","4.686,80","468,68",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,7-Empenho - 13001  2024  1195  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  1400  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  1510  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  1688  0  16007000,0,C,0,"468,68","468,68",C,,
,,7-Empenho - 13001  2024  231  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  392  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  615  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  767  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  972  0  16007000,0,C,"468,68","468,68",0,C,,
,,7-Empenho - 13001  2024  98  0  16007000,0,C,"468,68","468,68",0,C,,
2.1.8.8.1.01.99,Sintética,OUTROS CONSIGNATÁRIOS,"17.068,17",C,"512.652,50","531.747,76","36.163,43",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
2.1.8.8.1.01.99.00.00.000002,Analitica,SEGUROS,0,C,"365,76","406,4","40,64",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,7-Empenho - 13001  2024  113  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  1211  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  1414  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  1524  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  1702  0  16007000,0,C,0,"40,64","40,64",C,,
,,7-Empenho - 13001  2024  246  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  407  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  630  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  783  0  16007000,0,C,"40,64","40,64",0,C,,
,,7-Empenho - 13001  2024  988  0  16007000,0,C,"40,64","40,64",0,C,,
2.1.8.8.1.01.99.00.00.000005,Analitica,RETENÇÃO DE RECEITA ORÇ A APRÓPRIAR IRRF,"12.695,39",C,"307.552,87","308.709,12","13.851,64",C,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,7-Empenho - 13001  2017  1465  0  15001002,"391,83",C,0,0,"391,83",C,,
,,7-Empenho - 13001  2017  1882  0  15001002,"391,83",C,0,0,"391,83",C,,
,,7-Empenho - 13001  2017  1884  0  15001002,"7.213,68",C,0,0,"7.213,68",C,,
,,7-Empenho - 13001  2017  1885  0  15001002,"582,25",C,0,0,"582,25",C,,
,,7-Empenho - 13001  2017  1886  0  15001002,"479,73",C,0,0,"479,73",C,,
,,7-Empenho - 13001  2017  1888  0  15001002,"112,73",C,0,0,"112,73",C,,
,,7-Empenho - 13001  2017  850  0  15001002,"11,25",C,0,0,"11,25",C,,
,,7-Empenho - 13001  2023  1394  0  15001002,"4,51",C,"4,51",0,0,C,,
,,7-Empenho - 13001  2023  1398  0  15001002,"85,6",C,"85,6",0,0,C,,
,,7-Empenho - 13001  2023  1418  0  16007000,"4,74",C,"4,74",0,0,C,,
,,7-Empenho - 13001  2023  1439  0  15001002,"33,9",C,"33,9",0,0,C,,
,,7-Empenho - 13001  2023  1471  0  15001002,"4,69",C,"4,69",0,0,C,,
,,7-Empenho - 13001  2023  1494  0  16007000,"17,22",C,"17,22",0,0,C,,
,,7-Empenho - 13001  2023  1509  0  15001002,"38,96",C,"38,96",0,0,C,,
,,7-Empenho - 13001  2023  1528  0  15001002,"31,04",C,"31,04",0,0,C,,
,,7-Empenho - 13001  2023  1530  0  15001002,"4,64",C,"4,64",0,0,C,,
,,7-Empenho - 13001  2023  1587  0  15001002,"4,84",C,"4,84",0,0,C,,
,,7-Empenho - 13001  2023  1600  0  16007000,"11,52",C,"11,52",0,0,C,,
,,7-Empenho - 13001  2023  1609  0  16007000,"3,06",C,"3,06",0,0,C,,
,,7-Empenho - 13001  2023  1610  0  16007000,"10,94",C,"10,94",0,0,C,,
,,7-Empenho - 13001  2023  1611  0  15001002,"118,42",C,"118,42",0,0,C,,
,,7-Empenho - 13001  2023  1612  0  15001002,"2,01",C,"2,01",0,0,C,,
,,7-Empenho - 13001  2023  1697  0  15001002,"5,52",C,"5,52",0,0,C,,
,,7-Empenho - 13001  2023  1764  0  16007000,"57,24",C,"57,24",0,0,C,,
,,7-Empenho - 13001  2023  1803  0  15001002,"17,22",C,"17,22",0,0,C,,
,,7-Empenho - 13001  2023  1804  0  15001002,"61,22",C,"61,22",0,0,C,,
,,7-Empenho - 13001  2023  1805  0  15001002,"25,89",C,"25,89",0,0,C,,
,,7-Empenho - 13001  2023  1823  0  16007000,"1,47",C,"1,47",0,0,C,,
,,7-Empenho - 13001  2023  1830  0  16007000,"70,78",C,"70,78",0,0,C,,
,,7-Empenho - 13001  2023  1833  0  16007000,"1,66",C,"1,66",0,0,C,,
,,7-Empenho - 13001  2023  1836  0  16007000,"11,98",C,"11,98",0,0,C,,
,,7-Empenho - 13001  2023  1837  0  16007000,"3,14",C,"3,14",0,0,C,,
,,7-Empenho - 13001  2023  1843  0  16007000,"3,6",C,"3,6",0,0,C,,
,,7-Empenho - 13001  2023  1849  0  16007000,"8,25",C,"8,25",0,0,C,,
,,7-Empenho - 13001  2023  1852  0  16007000,"1,89",C,"1,89",0,0,C,,
,,7-Empenho - 13001  2023  1856  0  16007000,"4,31",C,"4,31",0,0,C,,
,,7-Empenho - 13001  2023  1858  0  16007000,"5,82",C,"5,82",0,0,C,,
,,7-Empenho - 13001  2023  1861  0  16007000,"22,27",C,"22,27",0,0,C,,
,,7-Empenho - 13001  2023  1862  0  16007000,"29,14",C,"29,14",0,0,C,,
,,7-Empenho - 13001  2023  1869  0  15001002,"183,89",C,"183,89",0,0,C,,
,,7-Empenho - 13001  2023  1872  0  15001002,"4,4",C,"4,4",0,0,C,,
,,7-Empenho - 13001  2023  1876  0  15001002,"54,02",C,"54,02",0,0,C,,
,,7-Empenho - 13001  2023  1878  0  15001002,"51,84",C,"51,84",0,0,C,,
,,7-Empenho - 13001  2023  1886  0  16007000,"3,55",C,"3,55",0,0,C,,
,,7-Empenho - 13001  2023  1894  0  16007000,"1,92",C,"1,92",0,0,C,,
,,7-Empenho - 13001  2023  1909  0  16007000,"7,44",C,"7,44",0,0,C,,
,,7-Empenho - 13001  2023  1910  0  16007000,"25,26",C,"25,26",0,0,C,,
,,7-Empenho - 13001  2023  1913  0  16007000,"3,54",C,"3,54",0,0,C,,
,,7-Empenho - 13001  2023  1924  0  16007000,"17,33",C,"17,33",0,0,C,,
,,7-Empenho - 13001  2023  1926  0  16007000,"9,78",C,"9,78",0,0,C,,
,,7-Empenho - 13001  2023  1929  0  16007000,"100,23",C,"100,23",0,0,C,,
,,7-Empenho - 13001  2023  1930  0  16007000,"26,28",C,"26,28",0,0,C,,
,,7-Empenho - 13001  2023  1931  0  16007000,"6,83",C,"6,83",0,0,C,,
,,7-Empenho - 13001  2023  1933  0  16007000,"8,64",C,"8,64",0,0,C,,
,,7-Empenho - 13001  2023  1934  0  16007000,"2,26",C,"2,26",0,0,C,,
,,7-Empenho - 13001  2023  1936  0  16007000,"23,76",C,"23,76",0,0,C,,
,,7-Empenho - 13001  2023  1938  0  16007000,"27,6",C,"27,6",0,0,C,,
,,7-Empenho - 13001  2023  1940  0  16007000,"12,6",C,"12,6",0,0,C,,
,,7-Empenho - 13001  2023  1997  0  15001002,"29,38",C,"29,38",0,0,C,,
,,7-Empenho - 13001  2023  1998  0  16007000,"6,33",C,"6,33",0,0,C,,
,,7-Empenho - 13001  2023  2019  0  16007000,"3,19",C,"3,19",0,0,C,,
,,7-Empenho - 13001  2023  2020  0  16007000,"20,04",C,"20,04",0,0,C,,
,,7-Empenho - 13001  2023  2038  0  16007000,"14,82",C,"14,82",0,0,C,,
,,7-Empenho - 13001  2023  2039  0  16007000,"34,02",C,"34,02",0,0,C,,
,,7-Empenho - 13001  2023  2040  0  16007000,"30,89",C,"30,89",0,0,C,,
,,7-Empenho - 13001  2023  2041  0  16007000,"8,1",C,"8,1",0,0,C,,
,,7-Empenho - 13001  2023  2042  0  16007000,"16,08",C,"16,08",0,0,C,,
,,7-Empenho - 13001  2023  2043  0  15001002,"111,14",C,"111,14",0,0,C,,
,,7-Empenho - 13001  2023  2044  0  16007000,"2,38",C,"2,38",0,0,C,,
,,7-Empenho - 13001  2023  2045  0  15001002,"90,16",C,"90,16",0,0,C,,
,,7-Empenho - 13001  2023  2057  0  15001002,"48,95",C,"48,95",0,0,C,,
,,7-Empenho - 13001  2023  2058  0  15001002,"81,75",C,"81,75",0,0,C,,
,,7-Empenho - 13001  2023  2064  0  16007000,23,C,23,0,0,C,,
,,7-Empenho - 13001  2023  2065  0  16007000,"211,85",C,"211,85",0,0,C,,
,,7-Empenho - 13001  2023  2066  0  16007000,"2,51",C,"2,51",0,0,C,,
,,7-Empenho - 13001  2023  2073  0  16217000,36,C,36,0,0,C,,
,,7-Empenho - 13001  2023  2076  0  16217000,"3,86",C,"3,86",0,0,C,,
,,7-Empenho - 13001  2023  2081  0  16217000,"75,57",C,"75,57",0,0,C,,
,,7-Empenho - 13001  2023  2082  0  16217000,"70,2",C,"70,2",0,0,C,,
,,7-Empenho - 13001  2023  2083  0  16217000,"14,4",C,"14,4",0,0,C,,
,,7-Empenho - 13001  2023  2084  0  16217000,"7,44",C,"7,44",0,0,C,,
,,7-Empenho - 13001  2023  2088  0  16007000,"85,99",C,"85,99",0,0,C,,
,,7-Empenho - 13001  2023  2089  0  16007000,"2,72",C,"2,72",0,0,C,,
,,7-Empenho - 13001  2023  2090  0  16007000,"14,67",C,"14,67",0,0,C,,
,,7-Empenho - 13001  2023  2091  0  16007000,"142,72",C,"142,72",0,0,C,,
,,7-Empenho - 13001  2023  2092  0  16007000,"2,1",C,"2,1",0,0,C,,
,,7-Empenho - 13001  2023  2093  0  16007000,"55,03",C,"55,03",0,0,C,,
,,7-Empenho - 13001  2023  2094  0  16007000,"6,48",C,"6,48",0,0,C,,
,,7-Empenho - 13001  2023  2096  0  16007000,"8,56",C,"8,56",0,0,C,,
,,7-Empenho - 13001  2023  2097  0  16007000,"18,25",C,"18,25",0,0,C,,
,,7-Empenho - 13001  2023  2098  0  16007000,"29,62",C,"29,62",0,0,C,,
,,7-Empenho - 13001  2023  2099  0  16007000,"2,42",C,"2,42",0,0,C,,
,,7-Empenho - 13001  2023  2100  0  16007000,"23,64",C,"23,64",0,0,C,,
,,7-Empenho - 13001  2023  2101  0  16007000,"44,11",C,"44,11",0,0,C,,
,,7-Empenho - 13001  2023  2103  0  16007000,"43,2",C,"43,2",0,0,C,,
,,7-Empenho - 13001  2023  2104  0  16007000,"13,5",C,"13,5",0,0,C,,
,,7-Empenho - 13001  2023  2105  0  16007000,"15,25",C,"15,25",0,0,C,,
,,7-Empenho - 13001  2023  2106  0  16007000,6,C,6,0,0,C,,
,,7-Empenho - 13001  2023  2107  0  16007000,0,C,"39,6","39,6",0,C,,
,,7-Empenho - 13001  2023  2111  0  15001002,"85,43",C,"85,43",0,0,C,,
,,7-Empenho - 13001  2023  2176  0  15001002,"66,24",C,"66,24",0,0,C,,
,,7-Empenho - 13001  2023  2196  0  16007000,"19,87",C,"19,87",0,0,C,,
,,7-Empenho - 13001  2023  2197  0  16007000,"1,51",C,"1,51",0,0,C,,
,,7-Empenho - 13001  2023  2198  0  16007000,"239,57",C,"239,57",0,0,C,,
,,7-Empenho - 13001  2023  2199  0  16217000,"63,76",C,"63,76",0,0,C,,
,,7-Empenho - 13001  2023  22  0  15001002,"62,04",C,"62,04",0,0,C,,
,,7-Empenho - 13001  2023  2200  0  16217000,"3,59",C,"3,59",0,0,C,,
,,7-Empenho - 13001  2023  2202  0  16217000,"7,32",C,"7,32",0,0,C,,
,,7-Empenho - 13001  2023  2203  0  16217000,"1,2",C,"1,2",0,0,C,,
,,7-Empenho - 13001  2023  2205  0  16217000,"5,41",C,"5,41",0,0,C,,
,,7-Empenho - 13001  2023  2206  0  16217000,"93,02",C,"93,02",0,0,C,,
,,7-Empenho - 13001  2023  2207  0  16007000,"54,07",C,"54,07",0,0,C,,
,,7-Empenho - 13001  2023  2230  0  16007000,"19,89",C,"19,89",0,0,C,,
,,7-Empenho - 13001  2023  2236  0  16217000,"2,23",C,"2,23",0,0,C,,
,,7-Empenho - 13001  2023  2299  0  15001002,"51,96",C,"51,96",0,0,C,,
,,7-Empenho - 13001  2024  100  0  16007000,0,C,"2.160,26","2.160,26",0,C,,
,,7-Empenho - 13001  2024  1005  0  15001002,0,C,"8,4","8,4",0,C,,
,,7-Empenho - 13001  2024  1006  0  16217000,0,C,"0,28","0,28",0,C,,
,,7-Empenho - 13001  2024  1008  0  16007000,0,C,0,"18,16","18,16",C,,
,,7-Empenho - 13001  2024  1009  0  16007000,0,C,"140,96","177,74","36,78",C,,
,,7-Empenho - 13001  2024  101  0  16007000,0,C,"2.008,33","2.008,33",0,C,,
,,7-Empenho - 13001  2024  1011  0  16007000,0,C,"11,22","11,22",0,C,,
,,7-Empenho - 13001  2024  1012  0  16007000,0,C,"4,45","4,45",0,C,,
,,7-Empenho - 13001  2024  1013  0  16007000,0,C,"243,79","243,79",0,C,,
,,7-Empenho - 13001  2024  1014  0  16007000,0,C,"22,79","22,79",0,C,,
,,7-Empenho - 13001  2024  1019  0  16007000,0,C,"1,51","1,51",0,C,,
,,7-Empenho - 13001  2024  1020  0  16007000,0,C,"2,13","2,13",0,C,,
,,7-Empenho - 13001  2024  1028  0  15001002,0,C,"56,16","56,16",0,C,,
,,7-Empenho - 13001  2024  1031  0  15001002,0,C,"57,34","57,34",0,C,,
,,7-Empenho - 13001  2024  105  0  15001002,0,C,"509,84","509,84",0,C,,
,,7-Empenho - 13001  2024  1052  0  16007000,0,C,0,"4,75","4,75",C,,
,,7-Empenho - 13001  2024  1053  0  16007000,0,C,"3,85","3,85",0,C,,
,,7-Empenho - 13001  2024  1054  0  15001002,0,C,"218,64","218,64",0,C,,
,,7-Empenho - 13001  2024  1055  0  15001002,0,C,"9,47","9,47",0,C,,
,,7-Empenho - 13001  2024  1056  0  15001002,0,C,"49,16","49,16",0,C,,
,,7-Empenho - 13001  2024  1057  0  15001002,0,C,0,"3,86","3,86",C,,
,,7-Empenho - 13001  2024  106  0  15001002,0,C,"692,48","692,48",0,C,,
,,7-Empenho - 13001  2024  1060  0  15001002,0,C,"170,1","170,1",0,C,,
,,7-Empenho - 13001  2024  1061  0  15001002,0,C,"7,75","7,75",0,C,,
,,7-Empenho - 13001  2024  1062  0  15001002,0,C,"35,35","35,35",0,C,,
,,7-Empenho - 13001  2024  1063  0  15001002,0,C,"0,6","0,6",0,C,,
,,7-Empenho - 13001  2024  1064  0  15001002,0,C,"2,27","2,27",0,C,,
,,7-Empenho - 13001  2024  1067  0  16007000,0,C,"20,99","20,99",0,C,,
,,7-Empenho - 13001  2024  1068  0  16007000,0,C,0,"69,6","69,6",C,,
,,7-Empenho - 13001  2024  1069  0  16007000,0,C,"12,36","12,36",0,C,,
,,7-Empenho - 13001  2024  107  0  15001002,0,C,"719,96","719,96",0,C,,
,,7-Empenho - 13001  2024  1085  0  16007000,0,C,"26,14","26,14",0,C,,
,,7-Empenho - 13001  2024  1086  0  16007000,0,C,"59,26","59,26",0,C,,
,,7-Empenho - 13001  2024  1096  0  16007000,0,C,"1,62","1,62",0,C,,
,,7-Empenho - 13001  2024  1097  0  16007000,0,C,"1,57","1,57",0,C,,
,,7-Empenho - 13001  2024  1107  0  15001002,0,C,"14,04","14,04",0,C,,
,,7-Empenho - 13001  2024  111  0  16007000,0,C,"382,4","382,4",0,C,,
,,7-Empenho - 13001  2024  1116  0  15001002,0,C,"4,83","4,83",0,C,,
,,7-Empenho - 13001  2024  1117  0  15001002,0,C,"58,35","58,35",0,C,,
,,7-Empenho - 13001  2024  1119  0  16007000,0,C,"63,98","63,98",0,C,,
,,7-Empenho - 13001  2024  1120  0  16007000,0,C,"93,85","93,85",0,C,,
,,7-Empenho - 13001  2024  1121  0  16007000,0,C,"103,46","103,46",0,C,,
,,7-Empenho - 13001  2024  1122  0  16007000,0,C,"64,8","64,8",0,C,,
,,7-Empenho - 13001  2024  1123  0  16007000,0,C,"19,04","19,04",0,C,,
,,7-Empenho - 13001  2024  1126  0  16007000,0,C,"53,78","53,78",0,C,,
,,7-Empenho - 13001  2024  1127  0  16007000,0,C,"12,74","12,74",0,C,,
,,7-Empenho - 13001  2024  1128  0  16007000,0,C,"125,63","125,63",0,C,,
,,7-Empenho - 13001  2024  1129  0  16007000,0,C,"16,74","16,74",0,C,,
,,7-Empenho - 13001  2024  113  0  16007000,0,C,"99,22","99,22",0,C,,
,,7-Empenho - 13001  2024  1130  0  16007000,0,C,"15,55","15,55",0,C,,
,,7-Empenho - 13001  2024  1143  0  15001002,0,C,"99,84","99,84",0,C,,
,,7-Empenho - 13001  2024  1144  0  15001002,0,C,0,"117,9","117,9",C,,
,,7-Empenho - 13001  2024  1145  0  15001002,0,C,"17,28","17,28",0,C,,
,,7-Empenho - 13001  2024  1146  0  16007000,0,C,"76,99","76,99",0,C,,
,,7-Empenho - 13001  2024  1147  0  16007000,0,C,"44,07","44,07",0,C,,
,,7-Empenho - 13001  2024  1148  0  16007000,0,C,"135,88","135,88",0,C,,
,,7-Empenho - 13001  2024  1149  0  16007000,0,C,0,"49,82","49,82",C,,
,,7-Empenho - 13001  2024  1150  0  16007000,0,C,"139,46","139,46",0,C,,
,,7-Empenho - 13001  2024  1151  0  16007000,0,C,"5,82","5,82",0,C,,
,,7-Empenho - 13001  2024  1152  0  16007000,0,C,0,"15,84","15,84",C,,
,,7-Empenho - 13001  2024  1153  0  16007000,0,C,0,"53,26","53,26",C,,
,,7-Empenho - 13001  2024  1154  0  16007000,0,C,"199,79","199,79",0,C,,
,,7-Empenho - 13001  2024  1155  0  16007000,0,C,"20,74","20,74",0,C,,
,,7-Empenho - 13001  2024  1156  0  16007000,0,C,"60,19","60,19",0,C,,
,,7-Empenho - 13001  2024  1157  0  16007000,0,C,0,"38,84","38,84",C,,
,,7-Empenho - 13001  2024  1158  0  16007000,0,C,"10,94","10,94",0,C,,
,,7-Empenho - 13001  2024  1159  0  16007000,0,C,"2,1","3,32","1,22",C,,
,,7-Empenho - 13001  2024  1160  0  16007000,0,C,"25,07","25,07",0,C,,
,,7-Empenho - 13001  2024  1167  0  15001002,0,C,"16,95","16,95",0,C,,
,,7-Empenho - 13001  2024  1169  0  16007000,0,C,"2,03","2,03",0,C,,
,,7-Empenho - 13001  2024  1171  0  15001002,0,C,0,"24,63","24,63",C,,
,,7-Empenho - 13001  2024  1172  0  15001002,0,C,0,"1,96","1,96",C,,
,,7-Empenho - 13001  2024  1173  0  16007000,0,C,0,"3,14","3,14",C,,
,,7-Empenho - 13001  2024  1175  0  15001002,0,C,0,"12,31","12,31",C,,
,,7-Empenho - 13001  2024  1177  0  16007000,0,C,"3,41","3,41",0,C,,
,,7-Empenho - 13001  2024  1178  0  15001002,0,C,"7,01","7,01",0,C,,
