Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
,,5-Conta Bancária+FR - 001  13838  9.633-4  17047000,"127.279,47",C,0,0,"127.279,47",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17557000,"48.500,00",C,"13.261,01","191.761,36","227.000,35",C,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  17597000,"2.154,66",D,"2.447,52",0,"4.602,18",D,,
,,5-Conta Bancária+FR - 001  13838  9.633-4  18997000,"4.842,48",D,0,0,"4.842,48",D,,
1.1.1.1.1.19.00.02.01.000006,Analitica,BANCO DO BRASIL S/A - VIGILÂNCIA SANITÁRIA,0,D,"54.518,33","501,07","54.017,26",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 748  0226  64578-4  15001002,0,D,0,"492,17","492,17",C,,
,,5-Conta Bancária+FR - 748  0226  64578-4  17597000,0,D,"54.518,33","8,9","54.509,43",D,,
1.1.1.1.1.19.00.02.02,Sintética,BANCO DO BRASIL - VINCULADA,"613.447,42",D,"5.906.267,14","5.719.049,41","800.665,15",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.1.1.1.19.00.02.02.000002,Analitica,B.B. S/A - PAB/ESF/EAC/PMAQ,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.169-3  15001002,"44.151,32",D,0,0,"44.151,32",D,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  15747000,"160.229,71",D,0,0,"160.229,71",D,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  16007000,"204.466,43",C,0,0,"204.466,43",C,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  16327000,91,C,0,0,91,C,,
,,5-Conta Bancária+FR - 001  13838  9.169-3  17007000,"176,4",D,0,0,"176,4",D,,
1.1.1.1.1.19.00.02.02.000003,Analitica,B.B. S/A - BLMAC,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.170-7  15001002,"1.097,36",C,0,0,"1.097,36",C,,
,,5-Conta Bancária+FR - 001  13838  9.170-7  16007000,"5.727,60",C,0,0,"5.727,60",C,,
,,5-Conta Bancária+FR - 001  13838  9.170-7  16617000,"4.574,96",D,0,0,"4.574,96",D,,
,,5-Conta Bancária+FR - 001  13838  9.170-7  17017000,"2.250,00",D,0,0,"2.250,00",D,,
1.1.1.1.1.19.00.02.02.000004,Analitica,B.B. S/A - VIGILÂNCIA EM SAÚDE,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.168-5  15001002,"35.170,72",C,0,0,"35.170,72",C,,
,,5-Conta Bancária+FR - 001  13838  9.168-5  16007000,"34.842,71",D,0,0,"34.842,71",D,,
,,5-Conta Bancária+FR - 001  13838  9.168-5  17007000,"328,01",D,0,0,"328,01",D,,
1.1.1.1.1.19.00.02.02.000007,Analitica,B.B. S/A - FARMÁCIA BÁSICA ESTADUAL,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  77970-9  15001002,"28.765,64",D,0,0,"28.765,64",D,,
,,5-Conta Bancária+FR - 001  13838  77970-9  16007000,"28.765,64",C,0,0,"28.765,64",C,,
1.1.1.1.1.19.00.02.02.000009,Analitica,B.B. S/A - VIGILANCIA EM SAÚDE MUNICIPAL,"1.575,18",D,"104.965,69","106.176,21","364,66",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  95995-2  15001001,"22.000,00",C,"3.000,00",0,"19.000,00",C,,
,,5-Conta Bancária+FR - 001  13838  95995-2  15001002,"78.254,63",D,"4,71","2,21","78.257,13",D,,
,,5-Conta Bancária+FR - 001  13838  95995-2  16007000,"2.547,84",D,0,0,"2.547,84",D,,
,,5-Conta Bancária+FR - 001  13838  95995-2  16317000,"3.710,24",D,0,0,"3.710,24",D,,
,,5-Conta Bancária+FR - 001  13838  95995-2  17597000,"83.311,20",C,"1.960,98","6.174,00","87.524,22",C,,
,,5-Conta Bancária+FR - 001  13838  95995-2  18997000,"22.373,67",D,0,0,"22.373,67",D,,
1.1.1.1.1.19.00.02.02.000010,Analitica,B.B. S/A - CO-FINANCIAMENTO,"9.189,40",D,"300.100,14","241.539,30","67.750,24",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  96.630-4  15001002,"111.112,07",C,0,"1,22","111.113,29",C,,
,,5-Conta Bancária+FR - 001  13838  96.630-4  15747000,"2.166,66",C,0,0,"2.166,66",C,,
,,5-Conta Bancária+FR - 001  13838  96.630-4  16007000,"51.738,73",C,0,0,"51.738,73",C,,
,,5-Conta Bancária+FR - 001  13838  96.630-4  16217000,"569.862,57",D,"300.100,14","241.538,08","628.424,63",D,,
,,5-Conta Bancária+FR - 001  13838  96.630-4  16327000,"407.225,56",C,0,0,"407.225,56",C,,
,,5-Conta Bancária+FR - 001  13838  96.630-4  17007000,"11.569,85",D,0,0,"11.569,85",D,,
1.1.1.1.1.19.00.02.02.000013,Analitica,BANCO DO BRASIL S/A - EQUIP. SAUDE,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  10.692-5  15001002,"168.000,00",C,0,0,"168.000,00",C,,
,,5-Conta Bancária+FR - 001  13838  10.692-5  16007000,"168.000,00",D,0,0,"168.000,00",D,,
1.1.1.1.1.19.00.02.02.000019,Analitica,BANCO DO BRASIL S/A - CONVÊNIO EQUIPAMENTOS,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  12.631-4  16007000,"6.832,36",D,0,0,"6.832,36",D,,
,,5-Conta Bancária+FR - 001  13838  12.631-4  17007000,"6.832,36",C,0,0,"6.832,36",C,,
1.1.1.1.1.19.00.02.02.000020,Analitica,BANCO DO BRASIL S/A - AFB,2,D,"56.309,71","27.491,24","28.820,47",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  9.167-7  15001002,"68.622,42",C,0,0,"68.622,42",C,,
,,5-Conta Bancária+FR - 001  13838  9.167-7  16007000,"43.424,76",C,"5.565,08",0,"37.859,68",C,,
,,5-Conta Bancária+FR - 001  13838  9.167-7  16217000,"112.049,18",D,"50.744,63","27.491,24","135.302,57",D,,
1.1.1.1.1.19.00.02.02.000021,Analitica,BANCO DO BRASIL S/A - QUALIFAR-SUS,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  12.949-6  16007000,"166.899,07",D,0,0,"166.899,07",D,,
,,5-Conta Bancária+FR - 001  13838  12.949-6  17007000,"166.899,07",C,0,0,"166.899,07",C,,
1.1.1.1.1.19.00.02.02.000022,Analitica,BANCO DO BRASIL S/A - 2016TR001185,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  13.858-4  15001002,"10.774,50",C,0,0,"10.774,50",C,,
,,5-Conta Bancária+FR - 001  13838  13.858-4  17007000,"233,5",D,0,0,"233,5",D,,
,,5-Conta Bancária+FR - 001  13838  13.858-4  17017000,"10.541,00",D,0,0,"10.541,00",D,,
1.1.1.1.1.19.00.02.02.000023,Analitica,BANCO DO BRASIL S/A - FUNDO À FUNDO,"12,26",D,"0,81",0,"13,07",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  14.393-6  15001002,"185,2",D,0,0,"185,2",D,,
,,5-Conta Bancária+FR - 001  13838  14.393-6  16007000,"3.275,16",C,0,0,"3.275,16",C,,
,,5-Conta Bancária+FR - 001  13838  14.393-6  16317000,"556,55",D,"0,81",0,"557,36",D,,
,,5-Conta Bancária+FR - 001  13838  14.393-6  17007000,"2.545,67",D,0,0,"2.545,67",D,,
1.1.1.1.1.19.00.02.02.000024,Analitica,BANCO DO BRASIL S/A - FUNDO À FUNDO,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  14.231-X  15001001,"1.195,21",D,0,0,"1.195,21",D,,
,,5-Conta Bancária+FR - 001  13838  14.231-X  16007000,"26.929,62",C,0,0,"26.929,62",C,,
,,5-Conta Bancária+FR - 001  13838  14.231-X  16317000,"2.001,72",D,0,0,"2.001,72",D,,
,,5-Conta Bancária+FR - 001  13838  14.231-X  17007000,"23.732,69",D,0,0,"23.732,69",D,,
1.1.1.1.1.19.00.02.02.000025,Analitica,BANCO DO BRASIL S/A - FNS CUSTEIO SUS,"8.467,37",D,"5.153.925,11","4.894.302,93","268.089,55",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  15.002-9  15001002,"99.013,41",D,"340.776,50","7.012,95","432.776,96",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  15747000,"217.824,85",C,0,0,"217.824,85",C,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16007000,"2.299.483,42",C,"4.065.788,14","4.874.500,55","3.108.195,83",C,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16017000,0,D,"13,84","13,84",0,D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16047000,"399.799,65",C,"276.752,00",0,"123.047,65",C,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16057000,0,D,"20.594,63",0,"20.594,63",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16217000,"15.730,49",C,0,"9.990,34","25.720,83",C,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16313110,"450.000,00",D,0,0,"450.000,00",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16313120,"200.000,00",D,0,0,"200.000,00",D,,
,,5-Conta Bancária+FR - 001  13838  15.002-9  16327000,"16.675,51",C,0,0,"16.675,51",C,,
